"Time","Current power/SENSOR"
2023-04-09 05:05:40,195.00 mA
2023-04-09 05:05:50,189.00 mA
2023-04-09 05:06:00,197.00 mA
2023-04-09 05:06:10,197.00 mA
2023-04-09 05:06:20,204.00 mA
2023-04-09 05:06:30,198.00 mA
2023-04-09 05:06:40,189.00 mA
2023-04-09 05:06:50,200.00 mA
2023-04-09 05:07:00,201.00 mA
2023-04-09 05:07:10,203.00 mA
2023-04-09 05:07:20,202.00 mA
2023-04-09 05:07:30,204.00 mA
2023-04-09 05:07:40,194.00 mA
2023-04-09 05:07:50,200.00 mA
2023-04-09 05:08:00,202.00 mA
2023-04-09 05:08:10,199.00 mA
2023-04-09 05:08:20,198.00 mA
2023-04-09 05:08:30,203.00 mA
2023-04-09 05:08:40,199.00 mA
2023-04-09 05:08:50,197.00 mA
2023-04-09 05:09:00,201.00 mA
2023-04-09 05:09:10,204.00 mA
2023-04-09 05:09:20,204.00 mA
2023-04-09 05:09:30,200.00 mA
2023-04-09 05:09:40,198.00 mA
2023-04-09 05:09:50,205.00 mA
2023-04-09 05:10:00,208.00 mA
2023-04-09 05:10:10,206.00 mA
2023-04-09 05:10:20,210.00 mA
2023-04-09 05:10:30,204.00 mA
2023-04-09 05:10:40,206.00 mA
2023-04-09 05:10:50,207.00 mA
2023-04-09 05:11:00,205.00 mA
2023-04-09 05:11:10,204.00 mA
2023-04-09 05:11:20,205.00 mA
2023-04-09 05:11:30,209.00 mA
2023-04-09 05:11:40,213.00 mA
2023-04-09 05:11:50,210.00 mA
2023-04-09 05:12:00,207.00 mA
2023-04-09 05:12:10,209.00 mA
2023-04-09 05:12:20,208.00 mA
2023-04-09 05:12:30,210.00 mA
2023-04-09 05:12:40,211.00 mA
2023-04-09 05:12:50,211.00 mA
2023-04-09 05:13:00,212.00 mA
2023-04-09 05:13:10,208.00 mA
2023-04-09 05:13:20,206.00 mA
2023-04-09 05:13:30,215.00 mA
2023-04-09 05:13:40,204.00 mA
2023-04-09 05:13:50,211.00 mA
2023-04-09 05:14:00,209.00 mA
2023-04-09 05:14:10,207.00 mA
2023-04-09 05:14:20,205.00 mA
2023-04-09 05:14:30,211.00 mA
2023-04-09 05:14:40,206.00 mA
2023-04-09 05:14:50,210.00 mA
2023-04-09 05:15:00,209.00 mA
2023-04-09 05:15:10,209.00 mA
2023-04-09 05:15:20,207.00 mA
2023-04-09 05:15:30,205.00 mA
2023-04-09 05:15:40,211.00 mA
2023-04-09 05:15:50,209.00 mA
2023-04-09 05:16:00,203.00 mA
2023-04-09 05:16:10,214.00 mA
2023-04-09 05:16:20,209.00 mA
