voltage(V),current(mA),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
3.985,-4779,12,40.9,495.84,4370,Li-ion
3.989,-4773,12,40.9,495.84,4370,Li-ion
3.989,-4811,12,40.9,495.84,4370,Li-ion
3.989,-4856,12,40.9,495.84,4370,Li-ion
3.989,-4804,12,40.9,495.84,4370,Li-ion
3.989,-4792,12,40.9,495.84,4370,Li-ion
3.989,-4827,12,40.9,495.84,4370,Li-ion
3.989,-4863,12,40.9,495.84,4370,Li-ion
3.989,-4746,12,40.9,495.84,4370,Li-ion
3.989,-4852,12,40.9,495.84,4370,Li-ion
3.992,-4831,12,41,508.236,4370,Li-ion
3.992,-4768,12,41,508.236,4370,Li-ion
3.992,-4865,12,41,508.236,4370,Li-ion
3.992,-4847,12,41,508.236,4370,Li-ion
3.992,-4906,12,41,508.236,4370,Li-ion
3.992,-4796,12,41,508.236,4370,Li-ion
3.992,-4854,12,41,508.236,4370,Li-ion
3.992,-4771,12,41,508.236,4370,Li-ion
3.992,-4845,12,41,508.236,4370,Li-ion
3.992,-4747,12,41,508.236,4370,Li-ion
3.993,-4816,13,40.3,524.764,4370,Li-ion
3.993,-4889,13,40.3,524.764,4370,Li-ion
3.993,-4874,13,40.3,524.764,4370,Li-ion
3.993,-4745,13,40.3,524.764,4370,Li-ion
3.993,-4769,13,40.3,524.764,4370,Li-ion
3.993,-4920,13,40.3,524.764,4370,Li-ion
3.993,-4583,13,40.3,524.764,4370,Li-ion
3.993,-4836,13,40.3,524.764,4370,Li-ion
3.993,-4753,13,40.3,524.764,4370,Li-ion
3.993,-4818,13,40.3,524.764,4370,Li-ion
3.995,-4720,13,40.1,537.16,4370,Li-ion
3.995,-4820,13,40.1,537.16,4370,Li-ion
3.995,-3366,13,40.1,537.16,4370,Li-ion
3.995,-4361,13,40.1,537.16,4370,Li-ion
3.995,-4363,13,40.1,537.16,4370,Li-ion
3.995,-1293,13,40.1,537.16,4370,Li-ion
3.995,-609,13,40.1,537.16,4370,Li-ion
3.995,-1750,13,40.1,537.16,4370,Li-ion
3.995,-1894,13,40.1,537.16,4370,Li-ion
3.995,-2243,13,40.1,537.16,4370,Li-ion
3.876,-2134,13,40,549.556,4370,Li-ion
3.876,-3581,13,40,549.556,4370,Li-ion
3.876,-4436,13,40,549.556,4370,Li-ion
3.876,-4706,13,40,549.556,4370,Li-ion
3.876,-4847,13,40,549.556,4370,Li-ion
3.876,-4715,13,40,549.556,4370,Li-ion
3.876,-4762,13,40,549.556,4370,Li-ion
3.876,-4817,13,40,549.556,4370,Li-ion
3.876,-4759,13,40,549.556,4370,Li-ion
3.876,-4808,13,40,549.556,4370,Li-ion
3.994,-4786,13,40,561.952,4370,Li-ion
3.994,-4802,13,40,561.952,4370,Li-ion
3.994,-4802,13,40,561.952,4370,Li-ion
3.994,-4828,13,40,561.952,4370,Li-ion
3.994,-4822,13,40,561.952,4370,Li-ion
3.994,-4819,13,40,561.952,4370,Li-ion
3.994,-3988,13,40,561.952,4370,Li-ion
3.994,-4702,13,40,561.952,4370,Li-ion
3.994,-4840,13,40,561.952,4370,Li-ion
3.997,-4781,14,40,574.348,4370,Li-ion
3.997,-4800,14,40,574.348,4370,Li-ion
3.997,-4688,14,40,574.348,4370,Li-ion
3.997,-4874,14,40,574.348,4370,Li-ion
3.997,-4875,14,40,574.348,4370,Li-ion
3.997,-4868,14,40,574.348,4370,Li-ion
3.997,-4877,14,40,574.348,4370,Li-ion
3.997,-4802,14,40,574.348,4370,Li-ion
3.997,-4950,14,40,574.348,4370,Li-ion
3.997,-4729,14,40,574.348,4370,Li-ion
4,-4496,14,40.2,586.744,4370,Li-ion
4,-4816,14,40.2,586.744,4370,Li-ion
4,-4820,14,40.2,586.744,4370,Li-ion
4,-4857,14,40.2,586.744,4370,Li-ion
4,-4840,14,40.2,586.744,4370,Li-ion
4,-4796,14,40.2,586.744,4370,Li-ion
4,-4762,14,40.2,586.744,4370,Li-ion
4,-4841,14,40.2,586.744,4370,Li-ion
4,-4864,14,40.2,586.744,4370,Li-ion
4,-4866,14,40.2,586.744,4370,Li-ion
3.995,-4758,14,40.4,599.14,4370,Li-ion
3.995,-4828,14,40.4,599.14,4370,Li-ion
3.995,-4791,14,40.4,599.14,4370,Li-ion
3.995,-4848,14,40.4,599.14,4370,Li-ion
3.995,-4815,14,40.4,599.14,4370,Li-ion
3.995,-4887,14,40.4,599.14,4370,Li-ion
3.995,-4873,14,40.4,599.14,4370,Li-ion
3.995,-4875,14,40.4,599.14,4370,Li-ion
3.995,-4726,14,40.4,599.14,4370,Li-ion
3.995,-4847,14,40.4,599.14,4370,Li-ion
4.007,-4718,15,40.5,615.668,4370,Li-ion
4.007,-4833,15,40.5,615.668,4370,Li-ion
4.007,-4810,15,40.5,615.668,4370,Li-ion
4.007,-4749,15,40.5,615.668,4370,Li-ion
4.007,-4821,15,40.5,615.668,4370,Li-ion
4.007,-4674,15,40.5,615.668,4370,Li-ion
4.007,-4850,15,40.5,615.668,4370,Li-ion
4.007,-4799,15,40.5,615.668,4370,Li-ion
4.007,-4824,15,40.5,615.668,4370,Li-ion
4.007,-4864,15,40.5,615.668,4370,Li-ion
4.008,-4765,15,40.6,628.064,4370,Li-ion
4.008,-4891,15,40.6,628.064,4370,Li-ion
4.008,-4844,15,40.6,628.064,4370,Li-ion
4.008,-4845,15,40.6,628.064,4370,Li-ion
4.008,-4849,15,40.6,628.064,4370,Li-ion
4.008,-4787,15,40.6,628.064,4370,Li-ion
4.008,-4771,15,40.6,628.064,4370,Li-ion
4.008,-4846,15,40.6,628.064,4370,Li-ion
4.008,-4838,15,40.6,628.064,4370,Li-ion
4.013,-4801,15,40.7,640.46,4370,Li-ion
4.013,-4900,15,40.7,640.46,4370,Li-ion
4.013,-4821,15,40.7,640.46,4370,Li-ion
4.013,-4781,15,40.7,640.46,4370,Li-ion
4.013,-4783,15,40.7,640.46,4370,Li-ion
4.013,-4766,15,40.7,640.46,4370,Li-ion
4.013,-4766,15,40.7,640.46,4370,Li-ion
4.013,-4815,15,40.7,640.46,4370,Li-ion
4.013,-4800,15,40.7,640.46,4370,Li-ion
4.013,-4838,15,40.7,640.46,4370,Li-ion
4.012,-4640,16,40.8,656.988,4370,Li-ion
4.012,-4659,16,40.8,656.988,4370,Li-ion
4.012,-4828,16,40.8,656.988,4370,Li-ion
4.012,-4682,16,40.8,656.988,4370,Li-ion
4.012,-4785,16,40.8,656.988,4370,Li-ion
4.012,-4889,16,40.8,656.988,4370,Li-ion
4.012,-4834,16,40.8,656.988,4370,Li-ion
4.012,-4884,16,40.8,656.988,4370,Li-ion
4.012,-4826,16,40.8,656.988,4370,Li-ion
4.012,-4912,16,40.8,656.988,4370,Li-ion
4.016,-4746,16,40.9,669.384,4370,Li-ion
4.016,-4794,16,40.9,669.384,4370,Li-ion
4.016,-4833,16,40.9,669.384,4370,Li-ion
4.016,-4810,16,40.9,669.384,4370,Li-ion
4.016,-4803,16,40.9,669.384,4370,Li-ion
4.016,-4827,16,40.9,669.384,4370,Li-ion
4.016,-4810,16,40.9,669.384,4370,Li-ion
4.016,-4838,16,40.9,669.384,4370,Li-ion
4.016,-4836,16,40.9,669.384,4370,Li-ion
4.016,-4900,16,40.9,669.384,4370,Li-ion
4.011,-4746,16,41,685.912,4370,Li-ion
4.011,-4830,16,41,685.912,4370,Li-ion
4.011,-4796,16,41,685.912,4370,Li-ion
4.011,-4777,16,41,685.912,4370,Li-ion
4.011,-4725,16,41,685.912,4370,Li-ion
4.011,-4861,16,41,685.912,4370,Li-ion
4.011,-4881,16,41,685.912,4370,Li-ion
4.011,-4804,16,41,685.912,4370,Li-ion
4.011,-4792,16,41,685.912,4370,Li-ion
