"Time","Current power/SENSOR"
2023-04-10 03:28:20,19.00 mA
2023-04-10 03:28:30,19.00 mA
2023-04-10 03:28:40,19.00 mA
2023-04-10 03:28:50,19.00 mA
2023-04-10 03:29:00,19.00 mA
2023-04-10 03:29:10,18.00 mA
2023-04-10 03:29:20,18.00 mA
2023-04-10 03:29:30,18.00 mA
2023-04-10 03:29:40,19.00 mA
2023-04-10 03:29:50,19.00 mA
2023-04-10 03:30:00,19.00 mA
2023-04-10 03:30:10,19.00 mA
2023-04-10 03:30:20,18.00 mA
2023-04-10 03:30:30,19.00 mA
2023-04-10 03:30:40,18.00 mA
2023-04-10 03:30:50,19.00 mA
2023-04-10 03:31:00,18.00 mA
2023-04-10 03:31:10,19.00 mA
2023-04-10 03:31:20,18.00 mA
2023-04-10 03:31:30,18.00 mA
2023-04-10 03:31:40,19.00 mA
2023-04-10 03:31:50,18.00 mA
2023-04-10 03:32:00,18.00 mA
2023-04-10 03:32:10,19.00 mA
2023-04-10 03:32:20,18.00 mA
2023-04-10 03:32:30,19.00 mA
2023-04-10 03:32:40,18.00 mA
2023-04-10 03:32:50,18.00 mA
2023-04-10 03:33:00,18.00 mA
2023-04-10 03:33:10,18.00 mA
2023-04-10 03:33:20,18.00 mA
2023-04-10 03:33:30,18.00 mA
2023-04-10 03:33:40,18.00 mA
2023-04-10 03:33:50,18.00 mA
2023-04-10 03:34:00,18.00 mA
2023-04-10 03:34:10,18.00 mA
2023-04-10 03:34:20,18.00 mA
2023-04-10 03:34:30,18.00 mA
2023-04-10 03:34:40,18.00 mA
2023-04-10 03:34:50,18.00 mA
2023-04-10 03:35:00,19.00 mA
2023-04-10 03:35:10,18.00 mA
2023-04-10 03:35:20,19.00 mA
2023-04-10 03:35:30,18.00 mA

